company_name,ico,segment,is_client,play_type,employee_count,current_acv_eur,potential_acv_eur,whitespace_eur,current_products,top_upsell,all_upsells,competitor_tools,nearest_renewal,days_to_renewal
H & M spol. s r.o.,00350885,M&E,True,upsell,,3000,28200,25200,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2028-12-01,953
OPTIMAL Engineering,27214761,D&M,True,upsell,20,3000,28200,25200,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-12-01,222
LIVA,08283508,AEC,True,upsell,,3000,28200,25200,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-11-03,194
AJP-tech,,unknown,True,upsell,29,3000,28200,25200,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-11-03,194
MEBI s.r.o.,,unknown,True,upsell,14,3000,28200,25200,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-06-04,42
Gebr. Saacke GmbH & Co. KG,,unknown,False,greenfield,315,0,25200,25200,,,,,,
"fortell, s.r.o.",24176885,D&M,False,displacement,167,0,25050,25050,,,,siemens nx; siemens plm,,
"LASER CENTRUM CZ, s.r.o.",25947699,D&M,False,greenfield,125,0,25000,25000,,,,,,
Ministerstvo dopravy,66003008,unknown,False,greenfield,312,0,24960,24960,,,,,,
STROJÍRNY OLŠOVEC s.r.o.,47976616,D&M,True,upsell,9,3400,28200,24800,AutoCAD LT | Fusion,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-07-03,71
ESARIS INDUSTRIES - SITE FELS,,unknown,False,greenfield,310,0,24800,24800,,,,,,
Expo,02062097,unknown,True,upsell,,3500,28200,24700,AutoCAD LT,AEC Collection,AEC Collection; PDMC; AutoCAD (full),,2026-12-02,223
Messer Technogas s.r.o.,40764788,M&E,False,greenfield,163,0,24450,24450,,,,,,
pro-beam GmbH & Co. KG,,unknown,False,displacement,305,0,24400,24400,,,,siemens nx; siemens plm,,
IMT foundry s.r.o.,,unknown,True,upsell,,15400,39600,24200,Inventor | PDMC,Fusion Mfg Ext,Fusion Mfg Ext; Vault; Moldflow,,2027-01-23,275
